exp,smiles,mol_id
2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,CHEMBL2325699
3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,CHEMBL2010845
3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL103
2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,CHEMBL2208428
2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,CHEMBL1796293
3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,CHEMBL1557436
2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,CHEMBL2031236
4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,CHEMBL2087849
2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,CHEMBL1235773
2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,CHEMBL339051
1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,CHEMBL168899
-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,CHEMBL517
2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,CHEMBL578288
-0.4,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,CHEMBL1778648
-0.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,CHEMBL1778635
2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,CHEMBL1234354
3.4,CC(Nc1ncnc2ccccc12)c3ccccc3,CHEMBL1550278
1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,CHEMBL1096
2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,CHEMBL1807822
3.47,COc1ccccc1Cn2c(C)nc3ccccc23,CHEMBL1310086
3.0,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,CHEMBL373364
-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL484901
1.95,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,CHEMBL1233652
-0.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,CHEMBL2059196
2.0,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,CHEMBL1934414
3.8,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,CHEMBL1415894
3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,CHEMBL2335875
0.36,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,CHEMBL1916269
2.14,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,CHEMBL1224139
1.71,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,CHEMBL1082812
1.19,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,CHEMBL12980
2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,CHEMBL1412343
2.77,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,CHEMBL453862
3.8,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,CHEMBL296572
2.87,O=C(COc1ccccc1)c2ccccc2,CHEMBL239513
1.91,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,CHEMBL479445
3.4,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,CHEMBL2152917
3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,CHEMBL299672
3.0,O=C1CCOc2cc(COc3ccccc3)ccc12,CHEMBL1682820
2.33,Clc1cccc2cn[nH]c12,CHEMBL247367
2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,CHEMBL2010834
-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,CHEMBL1945293
3.16,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,CHEMBL1652588
2.91,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,CHEMBL190812
1.55,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,CHEMBL235392
0.2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,CHEMBL62193
1.43,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,CHEMBL1784338
2.47,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,CHEMBL1650698
2.48,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,CHEMBL2062583
-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,CHEMBL4
2.0,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,CHEMBL2158534
2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,CHEMBL492234
3.5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,CHEMBL131921
0.89,CNCCCC12CCC(c3ccccc13)c4ccccc24,CHEMBL21731
1.3,Oc1cc(nc2ccnn12)c3ccccc3,CHEMBL346528
2.01,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,CHEMBL133501
3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,CHEMBL2087854
0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,CHEMBL1689126
2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,CHEMBL1650728
1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,CHEMBL2178942
2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,CHEMBL1800528
3.72,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,CHEMBL143305
1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,CHEMBL2326481
1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CHEMBL15245
3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,CHEMBL1852688
2.2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,CHEMBL2171169
2.04,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,CHEMBL2216830
4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,CHEMBL381098
0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1,CHEMBL284275
2.0,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,CHEMBL2177167
1.49,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,CHEMBL2331746
4.28,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,CHEMBL1712280
-0.95,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,CHEMBL1790041
1.64,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,CHEMBL1184060
2.02,FC(F)c1nc2ccccc2[nH]1,CHEMBL1502799
3.09,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,CHEMBL2208436
2.18,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,CHEMBL480445
4.4,Oc1ccccc1OC(=O)c2cccc3ccccc23,CHEMBL1392670
3.28,COc1ccccc1CNc2cc(C)ccn2,CHEMBL1455477
3.04,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,CHEMBL1939414
3.12,Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,CHEMBL1617016
0.06,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,CHEMBL2207600
2.49,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,CHEMBL244213
1.11,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,CHEMBL404957
2.81,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,CHEMBL520252
3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,CHEMBL190747
2.5,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,CHEMBL1079175
4.48,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,CHEMBL1499868
1.33,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,CHEMBL1824042
1.83,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,CHEMBL2158827
3.6,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,CHEMBL520925
3.2,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4,CHEMBL181502
-0.56,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,CHEMBL1962631
3.53,Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N,CHEMBL470915
4.3,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,CHEMBL1163803
2.88,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,CHEMBL598194
3.08,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,CHEMBL42
1.0,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,CHEMBL2178954
2.4,Cn1ncnc1COc2nn3c(nnc3cc2C(C)(C)C)c4cc(F)ccc4F,CHEMBL373250
1.89,CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2,CHEMBL1169388
1.52,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,CHEMBL2171046
3.33,O=C1C=COc2cc(OCc3ccccc3)ccc12,CHEMBL144960
0.79,[O-][S+](c1ccccc1)c2ccc3nnnn3n2,CHEMBL271023
3.2,[O-][N+](=O)c1ccc2OC(CN(c2c1)c3cccc[n+]3[O-])(C(F)F)C(F)F,CHEMBL90531
0.1,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,CHEMBL645
0.22,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N,CHEMBL2178950
2.0,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,CHEMBL2178393
4.0,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,CHEMBL1809049
2.71,COc1ccc(cc1)C2=CC(=O)c3ccccc3N2,CHEMBL1373079
0.7,COC1\C=C\OC2(C)Oc3c(C)c(O)c4C(=O)C(=CC(=O)c4c3C2=O)NC(=O)\C(=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C1C)\C,CHEMBL74380
3.67,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(cn6C)C#N)c3C1=O,CHEMBL257600
0.87,CN1SC(=NC1=O)NC(=O)c2cccc(Cl)c2,CHEMBL1362558
2.83,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C,CHEMBL2059861
0.82,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N,CHEMBL235191
1.0,Oc1ccc2C(=O)C=C(Oc2c1)N3CCOCC3,CHEMBL197536
3.07,Oc1nc(nc2CCSCc12)c3ccc(cc3)C(F)(F)F,CHEMBL1086580
3.07,Clc1ccc(N2CCN(CC2)C(=O)COCc3cscn3)c(Cl)c1,CHEMBL1290331
1.6,Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O,CHEMBL203370
1.58,O[C@@H](CNCCc1ccccc1CNCCc2ccccc2F)c3ccc(O)c4NC(=O)Sc34,CHEMBL1945035
2.62,OCC(CO)N1C=Cc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2C1=O,CHEMBL551360
3.37,COc1ccc(c(OC)n1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,CHEMBL1783284
2.68,Clc1ccccc1c2cnn[nH]2,CHEMBL1909734
1.7,NC(=O)c1ccc(Oc2cccc3cccnc23)c(c1)[N+](=O)[O-],CHEMBL1481866
2.21,NC(=O)Nc1cc(sc1C(=O)N)c2cccc(O)c2,CHEMBL1831079
-0.37,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,CHEMBL437
2.49,COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O,CHEMBL272105
3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,CHEMBL1940108
0.74,CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(=O)O,CHEMBL370252
1.61,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cn3c(C)nc(Cl)c3Cl)c2C(=O)N4CC[C@@H](O)C4,CHEMBL205245
1.2,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4,CHEMBL2070946
-1.34,Cc1ccc(NC(=N)N)cc1C,CHEMBL443320
1.26,Clc1ccc(cc1C(=O)NCC2CCCCC2)N3N=CC(=O)NC3=O,CHEMBL1779497
1.3,O=C(Oc1ccccc1)N2CCOCC2,CHEMBL1332736
1.9,CC(C)(C#N)c1cnc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,CHEMBL2070948
3.0,FC(F)(F)c1nnc2ccc(nn12)N3CCCCC3,CHEMBL1732699
0.21,Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,CHEMBL1917433
1.55,CCCNC(=O)CSc1ccc(cn1)S(=O)(=O)N2CCCC2,CHEMBL2141746
2.82,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,CHEMBL256576
3.52,COc1ccc(Cn2cc3N(CC(C)C)C(=O)N(C)C(=O)c3c2)cc1,CHEMBL87388
3.2,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn4cncn4,CHEMBL150606
1.09,CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,CHEMBL8809
0.55,CC(=O)Nc1nc(C)c(s1)c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2,CHEMBL1233655
1.78,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4ccc(cc34)C(F)(F)F,CHEMBL384962
1.43,CSc1ncccc1C(=O)Nc2nccs2,CHEMBL1542764
2.51,CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C,CHEMBL2181927
2.49,Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3,CHEMBL2334590
2.31,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,CHEMBL1480987
3.34,C[C@@H](NC(=O)C1CCCCN1C)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,CHEMBL2335898
4.13,CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1,CHEMBL401193
3.12,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,CHEMBL1950851
2.2,NC1(CCC1)c2ccc(cc2)c3ncc4ccncc4c3c5ccccc5,CHEMBL2035030
1.77,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C)C(=O)C(F)(F)F,CHEMBL111955
1.5,C[C@@H]1CN([C@@H](C)CN1C(=O)c2ccc(cc2)C#N)C(=O)[C@@](C)(O)C(F)(F)F,CHEMBL316388
2.5,CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(N[C@H](C)C(=O)O)c3C#N,CHEMBL248380
1.49,Clc1ccc(CC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4,CHEMBL235581
3.17,CC[C@H](NC(=O)c1c(c(nc2ccccc12)c3ccccc3)S(=O)(=O)C)c4ccccc4,CHEMBL1682940
3.19,Fc1ccc(NC(=O)c2cccnc2Oc3ccccc3)cc1,CHEMBL1471868
1.65,CC(CN1CCCCC1)C(=O)c2ccc(C)cc2,CHEMBL1076211
2.8,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Nc3ccc(nc3C)S(=O)(=O)C)c2C,CHEMBL1951022
3.89,Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,CHEMBL1987793
2.28,C[C@@H](NCc1ccccc1c2ccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)cc2)c5ccccc5,CHEMBL1947155
2.75,Nc1nc(Nc2ccc(F)c(Cl)c2)c3nc[nH]c3n1,CHEMBL1939418
3.97,CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1,CHEMBL398295
-0.84,CSc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,CHEMBL174107
1.6,C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3ccc(C)cc3,CHEMBL2089280
2.4,Nc1nc(N)nc(n1)c2cccc(c2)C(F)(F)F,CHEMBL139347
3.39,Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,CHEMBL1623
1.79,Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,CHEMBL2171034
1.01,OC(=O)COc1ccc(Cl)cc1CN2CCCN(CC2)S(=O)(=O)Cc3ccccc3,CHEMBL1689115
3.62,Clc1cccc(c1Cl)n2nnnc2NCc3ccccc3Oc4ccccn4,CHEMBL1628691
2.36,CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,CHEMBL1515447
1.29,Clc1ccccc1CCNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O,CHEMBL559968
1.1,Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(Cc4ccccn4)C3=O,CHEMBL1180299
2.15,C[C@@H](NC(=O)[C@H]1CCCCN1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,CHEMBL2335897
1.98,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3cccc4ncccc34)c2C(=O)N5CC[C@@H](O)C5,CHEMBL204476
3.5,C[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,CHEMBL2164680
1.17,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F,CHEMBL109396
2.53,OC(=O)C1CCN(CC1)c2ncccc2c3ccc(Cl)c(c3)C(=O)NCC4CCCCCC4,CHEMBL551765
1.13,Clc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1,CHEMBL14690
1.3,Cc1ccc(cc1)c2cccc(c2)c3nn[nH]n3,CHEMBL2089276
0.35,Cc1ccc2c(n1)c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O,CHEMBL1917461
1.8,CN(C1CCN(C)CC1)c2nccc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)n2,CHEMBL366080
3.2,CCCCCC[C@H]1OC(=O)CNC(=O)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C)[C@H](C)CC)[C@H](C)O,CHEMBL306262
0.82,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)c3ccccc3,CHEMBL1950724
3.19,Cc1cnc([nH]1)c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2,CHEMBL2059864
3.3,O=C(NCCSCc1ccccc1)c2ccccc2,CHEMBL1165028
2.5,OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,CHEMBL2158836
2.35,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c[nH]c4ccccc34)c2C(=O)N5CC[C@@H](O)C5,CHEMBL205807
1.73,C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3,CHEMBL576068
3.3,C(CN1CCCCC1)C2CCc3cc(OCc4ccc(cc4)c5ccccc5)ccc3C2,CHEMBL142715
2.31,Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(Cc4ccc(cc4)C(=O)NC5CC5)CC3,CHEMBL409493
2.41,CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c3ccc(O)c4NC(=O)Sc34,CHEMBL1945297
0.61,OCC[C@@]1(CCCNC1)c2ccc(Cl)c(Cl)c2,CHEMBL2321991
3.57,COc1ccccc1C(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N3CCN(Cc4ccc(F)cc4)CC3)C#N,CHEMBL2164670
3.13,CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NC(=O)c3ccc(F)c(F)c3)nc4ccccc14,CHEMBL182150
1.56,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc2ccccc2,CHEMBL1788268
0.7,Oc1c2C(=O)N(NC(=O)c2nc3cc(Cl)ccc13)C(C4CC4)c5ccncc5,CHEMBL1180288
2.08,Cc1cc(OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl,CHEMBL2158792
